Nama Produk,Harga
Abc kopi,2500
Baang goreng,3500
Beng-beng,6000
Bihun superior,3500
Boncabe sachet,500
Bumbu instan bamboo,1500 
Bumbu racik raon,2200 
"Bumbu racik tempe,ikan,ayam,nasgor",1500 
Bumbu rica-rica,2000 
Bumbu Sajiku nasgor,1500 
Deka jumbo,3500 
Deka afer kaleng,5000 
Emping mlinjo huasik,4500 
Energen (ecer @500),2500 
Filma margarin,2500 
Garuda atom gurih,2000 
Garuda atom pedas,3000 
Indomie 1pcs (export version),700 
Indomie 1pcs (indonesia version),1500 
Jahe angi,2500 
Jahe angi,2500 
kacang atom shanghai,2500
Kacang ijo,4500 
Kacang ijo,4500 
Kacang polong 2kelinci,1500 
Kecap kokita manis,4500 
Kecap kokita sambal,5000 
Keripik tempe,3500 
Kerupuk baang aloha (mentah),3000 
Kerupuk ikan aloha (mentah),
Kerupuk ikan rotary,5000 
Kerupuk udang aloha (mentah),4000 
kerupuk zona palembang baang,3500 
Ketumbar bubuk,1000 
Ketumbar butir,
Корі kapal api,2500 
kopi kapal api mix,2500 
Kuah bakso (sachet),3500 
Kunyit bubuk,3500 
Kusuka,
Malkis roma,3500 
Masako,1500 
Mie ayam 2 telor,2500 
Mie cup,2500 
Mie gemes 1box (ecer 1000: 4pcs),1500 
Mie safoco (vietnam),4500 
Abon sapi,
Adem sari 1pcs,500
Arden biskuit (ecer @500),5000 
Asem (tamarin),4000 
Banana kripik,3000 
basreng (snack),5000 
Coffemix 1pcs,
Daun jeruk,500 
Daun salam,3500
Gula merah,5500 
ikan asin (snack),5000 
Jamu komplit pegal linu,2000 
Kripik usus,
Ladaku 1sachet,5000 
Lapis legit,1000 
Lemonia biskuit,5000 
maitos,2500 
Mie sedap 1pcs,3000 
,1500 
Pepsodent,6500 
Roma kelapa biskuit,2500 
Roni (macaroni),2500 
Royco,2500 
Sabun lifebuoy,2000 
Sambal botol (jeng ida),5000 
Sambel sachet (10 pcs),6000 
Santan cocos 50g,1700 
santan cocos 250g,4500 
Saos belibis 535ml,5500 
Sarden,2000 
Seblak bantat,5000 
Selai olay,2500 
Susu jahe,2500 
Susu kaleng,3000 
Susu sachet coklat,4500 
Susu sachet putih,4000 
Tango,2500 
Teh celup 2tang,3200 
tepung bakan,4000 
tepung kobe kentucky,
tepung pisang,4000 
Teping tapioka,2500 
Terasi udang,5500 
Troy biskuit,4000 
Tist corn,2500 
Ubi ungu huasik,4000
